Geography_Code,Geography_Name,Time_Period,Date,Value,Dataset,Year,Month,Quarter,Month_Name,Region,Previous_Value,Growth_Rate,Source_File,Collection_Time,Data_Type,Measure,Category,demographic_type,demographic_field
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,100583.0,households_demographic,2017,11,4,November,,474152.0,-78.79,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:2,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,0.0,households_demographic,2017,12,4,December,,40603.0,-100.0,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:99,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,40603.0,households_demographic,2017,12,4,December,,14913.0,172.27,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:4,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,14913.0,households_demographic,2017,12,4,December,,112680.0,-86.77,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:3,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,112680.0,households_demographic,2017,12,4,December,,493074.0,-77.15,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:2,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,493074.0,households_demographic,2017,12,4,December,,0.0,,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:1,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,0.0,households_demographic,2017,11,4,November,,36239.0,-100.0,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:99,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,36239.0,households_demographic,2017,11,4,November,,12913.0,180.64,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:4,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,12913.0,households_demographic,2017,11,4,November,,100583.0,-87.16,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:3,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,474152.0,households_demographic,2017,11,4,November,,0.0,,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:1,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Sep,2017-09-01,85265.0,households_demographic,2017,9,3,September,,449471.0,-81.03,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:2,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,0.0,households_demographic,2017,10,4,October,,33108.0,-100.0,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:99,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,33108.0,households_demographic,2017,10,4,October,,11487.0,188.22,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:4,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,11487.0,households_demographic,2017,10,4,October,,92009.0,-87.52,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:3,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,92009.0,households_demographic,2017,10,4,October,,461242.0,-80.05,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:2,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,461242.0,households_demographic,2017,10,4,October,,0.0,,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:1,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
